iter	Passed	Remaining
413	2362	3344
414	2366	3336
415	2370	3327
416	2374	3319
417	2382	3317
418	2387	3310
419	2392	3303
420	2401	3302
421	2410	3301
422	2413	3292
423	2418	3285
424	2423	3278
425	2426	3270
426	2430	3261
427	2434	3254
428	2440	3247
429	2445	3241
430	2449	3234
431	2457	3231
432	2460	3221
433	2463	3212
434	2466	3204
435	2470	3195
436	2473	3187
437	2477	3178
438	2481	3170
439	2484	3162
440	2487	3153
441	2490	3144
442	2493	3134
443	2498	3128
444	2501	3120
445	2504	3111
446	2509	3104
447	2516	3100
448	2521	3094
449	2527	3089
450	2530	3080
451	2540	3080
452	2547	3076
453	2551	3068
454	2558	3064
455	2561	3055
456	2564	3047
457	2570	3041
458	2574	3034
459	2577	3025
460	2581	3018
461	2585	3010
462	2588	3002
463	2592	2994
464	2597	2988
465	2600	2980
466	2603	2971
467	2606	2963
468	2609	2954
469	2613	2947
470	2617	2939
471	2620	2931
472	2623	2922
473	2627	2915
474	2629	2906
475	2632	2898
476	2635	2889
477	2638	2881
478	2643	2875
479	2646	2866
480	2649	2858
481	2651	2849
482	2656	2843
483	2659	2835
484	2662	2826
485	2665	2818
486	2668	2811
487	2673	2804
488	2676	2796
489	2679	2788
490	2686	2784
491	2689	2777
492	2692	2769
493	2696	2761
494	2703	2757
495	2707	2750
496	2711	2743
497	2715	2737
498	2718	2729
499	2723	2723
500	2728	2717
501	2732	2710
502	2735	2702
503	2738	2695
504	2744	2689
505	2746	2681
506	2750	2674
507	2754	2667
508	2759	2662
509	2763	2654
510	2767	2648
511	2773	2643
512	2777	2636
513	2781	2630
514	2788	2626
515	2793	2620
516	2797	2613
517	2802	2607
518	2805	2599
519	2808	2592
520	2811	2584
521	2817	2579
522	2820	2572
523	2823	2564
524	2826	2556
525	2830	2550
526	2833	2543
527	2836	2535
528	2839	2528
529	2843	2521
530	2846	2514
531	2849	2506
532	2852	2498
533	2854	2491
534	2858	2484
535	2862	2478
536	2866	2471
537	2869	2463
538	2880	2463
539	2884	2457
540	2890	2452
541	2895	2446
542	2898	2439
543	2903	2433
544	2905	2425
545	2909	2418
546	2912	2412
547	2916	2405
548	2920	2399
549	2923	2392
550	2927	2385
551	2930	2378
552	2935	2372
553	2938	2365
554	2941	2358
555	2944	2351
556	2949	2345
557	2954	2340
558	2957	2333
559	2963	2328
560	2967	2322
561	2970	2315
562	2973	2307
563	2977	2301
564	2980	2294
565	2983	2287
566	2986	2280
567	2989	2273
568	2992	2266
569	2995	2259
570	2998	2252
571	3000	2245
572	3004	2238
573	3007	2232
574	3009	2224
575	3012	2217
576	3015	2210
577	3019	2204
578	3022	2198
579	3025	2190
580	3028	2184
581	3031	2177
582	3035	2171
583	3038	2164
584	3041	2157
585	3043	2150
586	3046	2143
587	3050	2137
588	3053	2130
589	3056	2123
590	3059	2117
591	3063	2111
592	3067	2105
593	3070	2098
594	3072	2091
595	3077	2085
596	3080	2079
597	3083	2072
598	3085	2065
599	3088	2059
600	3092	2053
601	3095	2046
602	3098	2039
603	3100	2032
604	3103	2026
605	3106	2019
606	3109	2012
607	3111	2006
608	3114	1999
609	3118	1993
610	3122	1987
611	3124	1981
612	3127	1974
613	3130	1967
614	3133	1961
615	3136	1955
616	3139	1948
617	3142	1942
618	3144	1935
619	3149	1930
620	3152	1923
621	3154	1917
622	3157	1910
623	3160	1904
624	3164	1898
625	3166	1892
626	3172	1887
627	3177	1881
628	3179	1875
629	3182	1868
630	3184	1862
631	3187	1855
632	3191	1850
633	3194	1843
634	3196	1837
635	3199	1831
636	3202	1824
637	3206	1819
638	3208	1812
639	3211	1806
640	3214	1800
641	3216	1793
642	3220	1787
643	3222	1781
644	3226	1775
645	3228	1769
646	3231	1763
647	3235	1757
648	3238	1751
649	3241	1745
650	3244	1739
651	3247	1733
652	3250	1727
653	3253	1721
654	3255	1714
655	3258	1708
656	3261	1702
657	3265	1697
658	3267	1690
659	3270	1684
660	3272	1678
661	3276	1672
662	3279	1666
663	3281	1660
664	3284	1654
665	3287	1648
666	3292	1643
667	3296	1638
668	3301	1633
669	3307	1629
670	3310	1623
671	3314	1617
672	3318	1612
673	3323	1607
674	3327	1601
675	3332	1597
676	3336	1591
677	3340	1586
678	3342	1580
679	3345	1574
680	3348	1568
681	3353	1563
682	3357	1558
683	3361	1553
684	3368	1548
685	3371	1543
686	3374	1537
687	3377	1531
688	3382	1526
689	3385	1521
690	3389	1515
691	3392	1509
692	3397	1504
693	3400	1499
694	3404	1493
695	3409	1489
696	3412	1483
697	3416	1478
698	3419	1472
699	3423	1467
700	3426	1461
701	3430	1456
702	3433	1450
703	3437	1445
704	3442	1440
705	3447	1435
706	3453	1431
707	3459	1426
708	3464	1421
709	3471	1417
710	3475	1412
711	3478	1407
712	3482	1401
713	3485	1396
714	3489	1390
715	3492	1385
716	3497	1380
717	3500	1374
718	3503	1369
719	3506	1363
720	3509	1358
721	3512	1352
722	3515	1346
723	3518	1341
724	3521	1335
725	3525	1330
726	3528	1325
727	3531	1319
728	3534	1314
729	3538	1308
730	3543	1303
731	3545	1298
732	3548	1292
733	3556	1288
734	3560	1283
735	3563	1278
736	3576	1276
737	3580	1271
738	3585	1266
739	3590	1261
740	3602	1259
741	3615	1257
742	3619	1251
743	3622	1246
744	3626	1241
745	3629	1235
746	3632	1230
747	3635	1224
748	3637	1219
749	3643	1214
750	3647	1209
751	3650	1203
752	3658	1200
753	3662	1195
754	3666	1189
755	3669	1184
756	3673	1179
757	3677	1174
758	3683	1169
759	3687	1164
760	3691	1159
761	3694	1154
762	3697	1148
763	3705	1144
764	3707	1139
765	3710	1133
766	3713	1128
767	3717	1122
768	3721	1117
769	3725	1112
770	3728	1107
771	3732	1102
772	3735	1097
773	3738	1091
774	3742	1086
775	3749	1082
776	3752	1076
777	3755	1071
778	3759	1066
779	3762	1061
780	3766	1056
781	3770	1051
782	3774	1046
783	3781	1041
784	3788	1037
785	3792	1032
786	3794	1027
787	3797	1021
788	3803	1017
789	3806	1011
790	3809	1006
791	3812	1001
792	3816	996
793	3819	990
794	3822	985
795	3825	980
796	3828	975
797	3832	970
798	3835	964
799	3837	959
800	3840	954
801	3844	949
802	3847	943
803	3850	938
804	3853	933
805	3856	928
806	3860	923
807	3863	917
808	3866	912
809	3869	907
810	3873	902
811	3876	897
812	3880	892
813	3883	887
814	3887	882
815	3891	877
816	3894	872
817	3897	867
818	3900	862
819	3904	857
820	3907	851
821	3910	846
822	3912	841
823	3917	836
824	3919	831
825	3922	826
826	3925	821
827	3928	815
828	3932	811
829	3935	806
830	3938	800
831	3941	795
832	3946	791
833	3949	786
834	3951	780
835	3954	775
836	3957	770
837	3961	765
838	3964	760
839	3967	755
840	3969	750
841	3972	745
842	3976	740
843	3979	735
844	3982	730
845	3984	725
846	3987	720
847	3990	715
848	3993	710
849	3995	705
850	3998	700
851	4003	695
852	4006	690
853	4008	685
854	4011	680
855	4016	675
856	4019	670
857	4022	665
858	4025	660
859	4030	656
860	4033	651
861	4036	646
862	4041	641
863	4046	637
864	4051	632
865	4056	627
866	4060	622
867	4064	618
868	4067	613
869	4070	608
870	4075	603
871	4078	598
872	4081	593
873	4084	588
874	4088	584
875	4091	579
876	4094	574
877	4097	569
878	4101	564
879	4105	559
880	4108	554
881	4110	549
882	4114	545
883	4117	540
884	4120	535
885	4124	530
886	4127	525
887	4132	521
888	4135	516
889	4138	511
890	4141	506
891	4145	501
892	4149	497
893	4152	492
894	4156	487
895	4161	483
896	4165	478
897	4168	473
898	4171	468
899	4177	464
900	4180	459
901	4184	454
902	4189	450
903	4192	445
904	4195	440
905	4198	435
906	4201	430
